,Name,Date,Public,Country,Weekday,Observed_day
0,New Year's Day,2022-01-01,True,US,Saturday,Friday
1,Seventh Day of Kwanzaa,2022-01-01,False,US,Saturday,Saturday
2,Epiphany,2022-01-06,False,US,Thursday,Thursday
3,Orthodox Christmas Eve,2022-01-06,False,US,Thursday,Thursday
4,Orthodox Christmas Day,2022-01-07,False,US,Friday,Friday
5,Stephen Foster Memorial Day,2022-01-13,False,US,Thursday,Thursday
6,Orthodox New Year's Day,2022-01-14,False,US,Friday,Friday
7,Martin Luther King Jr. Day,2022-01-17,True,US,Monday,Monday
8,Chinese New Year's Day,2022-02-01,False,US,Tuesday,Tuesday
9,National Freedom Day,2022-02-01,False,US,Tuesday,Tuesday
10,Groundhog Day,2022-02-02,False,US,Wednesday,Wednesday
11,National Wear Red Day,2022-02-04,False,US,Friday,Friday
12,Super Bowl Sunday,2022-02-06,False,US,Sunday,Sunday
13,Valentine's Day,2022-02-14,False,US,Monday,Monday
14,George Washington's Birthday,2022-02-21,True,US,Monday,Monday
15,NHL Trade Deadline,2022-02-28,False,US,Monday,Monday
16,Saint David's Day,2022-03-01,False,US,Tuesday,Tuesday
17,Shrove Tuesday,2022-03-01,False,US,Tuesday,Tuesday
18,Ash Wednesday,2022-03-02,False,US,Wednesday,Wednesday
19,Read Across America Day,2022-03-02,False,US,Wednesday,Wednesday
20,Employee Appreciation Day,2022-03-04,False,US,Friday,Friday
21,Start of Daylight Saving Time,2022-03-13,False,US,Sunday,Sunday
22,Saint Patrick's Day,2022-03-17,False,US,Thursday,Thursday
23,March Equinox,2022-03-20,False,US,Sunday,Sunday
24,National Vietnam War Veterans Day,2022-03-29,False,US,Tuesday,Tuesday
25,April Fools' Day,2022-04-01,False,US,Friday,Friday
26,National Tartan Day,2022-04-06,False,US,Wednesday,Wednesday
27,Palm Sunday,2022-04-10,False,US,Sunday,Sunday
28,Thomas Jefferson's Birthday,2022-04-13,False,US,Wednesday,Wednesday
29,Maundy Thursday,2022-04-14,False,US,Thursday,Thursday
30,Good Friday,2022-04-15,False,US,Friday,Friday
31,Holy Saturday,2022-04-16,False,US,Saturday,Saturday
32,Easter,2022-04-17,False,US,Sunday,Sunday
33,Tax Day,2022-04-15,False,US,Friday,Monday
34,Boston Marathon,2022-04-18,False,US,Monday,Monday
35,Easter Monday,2022-04-18,False,US,Monday,Monday
36,Earth Day,2022-04-22,False,US,Friday,Friday
37,Orthodox Good Friday,2022-04-22,False,US,Friday,Friday
